County,Year,Fertility Rate
"Brevard County, FL",2009.0,1.8465016600000002
"Brevard County, FL",2010.0,1.7677887700000003
"Brevard County, FL",2011.0,1.83262142
"Brevard County, FL",2012.0,1.7459450799999998
"Brevard County, FL",2013.0,1.7567533299999998
"Brevard County, FL",2014.0,1.7866857399999996
"Brevard County, FL",2015.0,1.7345290499999997
"Bristol County, MA",2007.0,1.8335467400000005
"Bristol County, MA",2008.0,1.7806756100000003
"Bristol County, MA",2009.0,1.7802278899999995
"Bristol County, MA",2010.0,1.70087023
"Bristol County, MA",2011.0,1.67916537
"Bristol County, MA",2012.0,1.63433153
"Bristol County, MA",2013.0,1.62714135
"Bristol County, MA",2014.0,1.5892370500000002
"Bristol County, MA",2015.0,1.6074834399999998
"Bronx County, NY",2007.0,2.1607552800000005
"Bronx County, NY",2008.0,2.1531302000000005
"Bronx County, NY",2009.0,2.1296404
"Bronx County, NY",2010.0,2.05615491
"Bronx County, NY",2011.0,2.01003462
"Bronx County, NY",2012.0,1.94695391
"Bronx County, NY",2013.0,1.9271715800000004
"Bronx County, NY",2014.0,1.9050170999999998
"Bronx County, NY",2015.0,1.8752580399999996
"Broome County, NY",2007.0,1.69400121
"Broome County, NY",2008.0,1.64810105
"Broome County, NY",2009.0,1.6264223299999996
"Broome County, NY",2010.0,1.6055273
"Broome County, NY",2011.0,1.6275314100000002
"Broome County, NY",2012.0,1.6460235899999998
"Broome County, NY",2013.0,1.6858069200000005
"Broome County, NY",2014.0,1.7563335900000001
"Broome County, NY",2015.0,1.6521920600000002
"Broward County, FL",2007.0,2.03171726
"Broward County, FL",2008.0,1.97177604
"Broward County, FL",2009.0,1.885351369999999
"Broward County, FL",2010.0,1.8639224399999998
"Broward County, FL",2011.0,1.7927999499999996
"Broward County, FL",2012.0,1.75540834
"Broward County, FL",2013.0,1.77081217
"Broward County, FL",2014.0,1.7860077899999998
"Broward County, FL",2015.0,1.7672543400000003
"Brown County, WI",2007.0,2.1302645499999997
"Brown County, WI",2008.0,2.06554555
"Brown County, WI",2009.0,2.03261454
"Brown County, WI",2010.0,2.01482846
"Brown County, WI",2011.0,1.9800183500000004
"Brown County, WI",2012.0,2.01181285
"Brown County, WI",2013.0,1.97309401
"Brown County, WI",2014.0,1.9527436000000005
"Brown County, WI",2015.0,1.9705443699999998
"Brunswick County, NC",2014.0,1.9225971699999997
"Brunswick County, NC",2015.0,1.77659659
"Bucks County, PA",2007.0,1.9847670099999999
"Bucks County, PA",2008.0,1.91505895
"Bucks County, PA",2009.0,1.8556757300000002
"Bucks County, PA",2010.0,1.7872509200000002
"Bucks County, PA",2011.0,1.7921815499999998
"Bucks County, PA",2012.0,1.71309567
"Bucks County, PA",2013.0,1.6869070300000002
"Bucks County, PA",2014.0,1.7431732100000001
"Bucks County, PA",2015.0,1.7186494099999994
"Buncombe County, NC",2007.0,1.8750257699999993
"Buncombe County, NC",2008.0,1.7662486700000002
"Buncombe County, NC",2009.0,1.7017538699999997
"Buncombe County, NC",2010.0,1.62451885
"Buncombe County, NC",2011.0,1.58766607
"Buncombe County, NC",2012.0,1.5975257499999997
"Buncombe County, NC",2013.0,1.6136228999999995
"Buncombe County, NC",2014.0,1.5395595999999998
"Buncombe County, NC",2015.0,1.5352585900000002
"Burlington County, NJ",2007.0,2.02138372
"Burlington County, NJ",2008.0,1.9624793500000004
"Burlington County, NJ",2009.0,1.92495242
"Burlington County, NJ",2010.0,1.8332672600000002
"Burlington County, NJ",2011.0,1.8178756100000002
"Burlington County, NJ",2012.0,1.6945624999999997
"Burlington County, NJ",2013.0,1.7000376299999997
"Burlington County, NJ",2014.0,1.6778407899999996
"Burlington County, NJ",2015.0,1.6538243399999997
"Butler County, OH",2007.0,2.05623371
"Butler County, OH",2008.0,2.04605482
"Butler County, OH",2009.0,1.97379526
"Butler County, OH",2010.0,1.8625154400000001
"Butler County, OH",2011.0,1.8553615899999996
"Butler County, OH",2012.0,1.88981744
"Butler County, OH",2013.0,1.85523579
"Butler County, OH",2014.0,1.8473532700000004
"Butler County, OH",2015.0,1.8992951900000001
"Butler County, PA",2007.0,1.9065555800000002
"Butler County, PA",2008.0,1.96810105
"Butler County, PA",2009.0,1.8346978299999999
"Butler County, PA",2010.0,1.7851311699999999
"Butler County, PA",2011.0,1.7603512799999996
"Butler County, PA",2012.0,1.7277479200000003
"Butler County, PA",2013.0,1.7499976799999999
"Butler County, PA",2014.0,1.71928412
"Butler County, PA",2015.0,1.76278961
"Butte County, CA",2007.0,1.8015493299999994
"Butte County, CA",2008.0,1.74419221
"Butte County, CA",2009.0,1.66586166
"Butte County, CA",2010.0,1.67310784
"Butte County, CA",2011.0,1.6415312599999998
"Butte County, CA",2012.0,1.64836778
"Butte County, CA",2013.0,1.66620366
"Butte County, CA",2014.0,1.69496979
"Butte County, CA",2015.0,1.6215878600000002
"Cabarrus County, NC",2007.0,2.4203810199999998
"Cabarrus County, NC",2008.0,2.4645094500000004
